speaker,speech_count
David Cameron,186
Theresa May,158
Gordon Brown,67
Matthew Hancock,62
George Osborne,58
William Hague,53
Michael Gove,49
Ed Miliband,49
Queen Elizabeth II,45
Sajid Javid,44
John Major,44
Nick Clegg,40
Nick Gibb,40
Tony Blair,39
Jeremy Corbyn,38
Alan Milburn,37
Jeremy Hunt,36
John Hutton,35
Iain Duncan Smith,34
Justine Greening,31
Boris Johnson,29
Nicky Morgan,27
Liam Fox,25
David Blunkett,25
Philip Hammond,23
Patrick McLoughlin,22
David Lidington,21
Theresa Villiers,21
David Gauke,21
Danny Alexander,20
Michael Fallon,19
Harriet Harman,19
Edward Davey,19
Elizabeth Truss,18
Greg Clark,18
Penny Mordaunt,17
Francis Maude,17
Chris Grayling,16
Andrew Jones,16
Hugo Swire,16
Hilary Benn,15
Eric Pickles,15
Jack Straw,15
Ed Balls,15
James Brokenshire,14
Tim Farron,13
Karen Bradley,13
Vince Cable,13
Michael Howard,13
Amber Rudd,13
Andrea Leadsom,13
Andy Burnham,13
Lord Falconer,12
Douglas Alexander,12
Harriett Baldwin,12
David Davis,12
Chloe Smith,12
Robert Goodwill,12
Alan Duncan,12
Sam Gyimah,11
Jo Johnson,11
Lord Freud,11
David Miliband,11
Jeremy Wright,10
Alistair Darling,10
Edward Timpson,10
John McDonnell,10
Nicola Sturgeon,10
Ken Clarke,10
Jim Murphy,10
Owen Paterson,10
Rosie Winterton,10
Greg Hands,10
Winston Churchill,9
Alan Johnson,9
Alistair Burt,9
Queen Victoria,9
Claire Perry,9
King George VI,9
Yvette Cooper,8
Michael Portillo,8
Damian Green,8
Edward Heath,8
Margaret Beckett,8
Gregory Barker,8
Stephen Crabb,8
Charles Kennedy,8
Stephen Timms,8
Alex Salmond,8
James Purnell,7
Ed Vaizey,7
Cecil Parkinson,7
Chuka Umunna,7
Chris Huhne,7
Stephen Twigg,7
Alun Cairns,7
Stephen Hammond,7
Rob Wilson,7
Margaret Thatcher,7
Peter Hain,6
Tim Loughton,6
Maria Miller,6
Andrew Mitchell,6
John Whittingdale,6
John Reid,6
Michael Ancram,6
Damian Hinds,6
Caroline Spelman,6
Adam Afriyie,6
Baroness Warsi,6
Anne Milton,6
Priti Patel,6
Nick Herbert,6
Dominic Grieve,6
Tessa Jowell,6
Michael Wilshaw,6
James Duddridge,6
Anthony Eden,6
Alistair Carmichael,6
Mark Hoban,6
John Prescott,5
Jeremy Browne,5
Gerald Howarth,5
David Willetts,5
David Jones,5
Patricia Hewitt,5
Frances O’Grady,5
Baroness Anelay,5
Paul Maynard,5
Sadiq Khan,5
John Healey,5
Nigel Farage,5
Maria Eagle,5
Peter Mandelson,5
Robin Cook,5
King Edward VII,5
Michael Heseltine,5
Andrew Lansley,5
Liam Byrne,5
Oliver Letwin,5
Harold Wilson,5
Anna Soubry,5
Mark Field,4
Angus Robertson,4
Andrew Smith,4
Stephen Byers,4
Baroness Verma,4
Peter Robinson,4
Rachel Reeves,4
Caroline Flint,4
Sir George Young,4
David Lloyd George,4
Dominic Raab,4
Clement Attlee,4
Jim Fitzpatrick,4
Ivan Lewis,4
Sir Nicholas Macpherson,4
Baroness Kramer,4
John Denham,4
Carwyn Jones,4
Donald Dewar,4
Lynne Featherstone,4
Benjamin Disraeli,4
David Laws,4
Caroline Lucas,4
John Glen,4
Jacqui Smith,4
Ann Widdecombe,4
Brandon Lewis,4
Ken Livingstone,4
Tobias Ellwood,4
Angela Eagle,4
James Callaghan,4
Tracey Crouch,3
Chris Patten,3
Timothy Kirkhope,3
Michael Moore,3
Chris Bryant,3
Enoch Powell,3
Simon Hughes,3
Herbert Asquith,3
Cheryl Gillan,3
Pat McFadden,3
Fiona Bruce,3
Douglas Hurd,3
Ian Blackford,3
Norman Lamb,3
Menzies Campbell,3
Michael Martin,3
Peter Ainsworth,3
Ruth Davidson,3
Philip Dunne,3
Tom Watson,3
Lord Adonis,3
